,PMID,Title,Abstract,Journal,Language,PubDate,SearchTerms
0,29336095,"Sleep hygiene, insomnia and mental health.",No Abstract,Journal of sleep research,eng,02/NA/2018,['mental health']
1,29564546,Sports psychiatry: mental health and mental disorders in athletes and exercise treatment of mental disorders.,"Sports psychiatry has developed for the past 3 decades as an emerging field within psychiatry and sports medicine. An International society has been established in 1994 and also national interest groups were implemented, mostly within the national organizations for psychiatry, some also containing the topic of exercise treatment of mental disorders. Where are we now 30 years later? We systematically but also selectively review the medical literature on exercise, sport, psychiatry, mental health and mental disorders and related topics. The number of publications in the field has increased exponentially. Most topics keep remaining on the agenda, e.g., head trauma and concussion, drug abuse and doping, performance enhancement, overtraining, ADHD or eating disorders. Supported by the growing literature, evidence-based recommendations have become available now in many clinical areas. A relatively new phenomenon is muscle dysmorphia, observed in weightlifters, bodybuilders but also in college students and gym users. Further, sports therapy of mental disorders has been studied by more and more high-quality randomized controlled clinical trials. Mostly as a complementary treatment, however, for some disorders already with a 1a evidence level, e.g., depression, dementia or MCI but also post-traumatic stress disorder. Being grown up and accepted nowadays, sports psychiatry still represents a fast-developing field. The reverse side of the coin, sport therapy of mental disorders has received a scientific basis now. Who else than sports psychiatry could advance sport therapy of mental disorders? We need this enthusiasm for sports and psychiatry for our patients with mental disorders and it is time now for a broadening of the scope. Optimized psychiatric prevention and treatment of athletes and ideal sport-related support for individuals with mental disorders should be our main purpose and goal.",European archives of psychiatry and clinical neuroscience,eng,08/NA/2019,"['mental health', 'ADHD', 'depression']"
2,29364935,Effects of Mindfulness-Based Stress Reduction on employees' mental health: A systematic review.,The purpose of this exploratory study was to obtain greater insight into the effects of Mindfulness-Based Stress Reduction (MBSR) and Mindfulness-Based Cognitive Therapy (MBCT) on the mental health of employees.,PloS one,eng,NA/NA/2018,"['mental health', 'depression']"
3,29467362,Media use and brain development during adolescence.,"The current generation of adolescents grows up in a media-saturated world. However, it is unclear how media influences the maturational trajectories of brain regions involved in social interactions. Here we review the neural development in adolescence and show how neuroscience can provide a deeper understanding of developmental sensitivities related to adolescents' media use. We argue that adolescents are highly sensitive to acceptance and rejection through social media, and that their heightened emotional sensitivity and protracted development of reflective processing and cognitive control may make them specifically reactive to emotion-arousing media. This review illustrates how neuroscience may help understand the mutual influence of media and peers on adolescents' well-being and opinion formation.",Nature communications,eng,02/21/2018,['mental health']
4,29439192,Teenage pregnancy and mental health beyond the postpartum period: a systematic review.,"Teenage mothers are at increased risk for adverse social outcomes and short-term health problems, but long-term impacts on mental health are poorly understood. The aims of our systematic review were to determine the association between teenage pregnancy and mental health beyond the postpartum period, critically appraise the literature's quality and guide future research.",Journal of epidemiology and community health,eng,06/NA/2018,"['mental health', 'depression']"
5,29569016,PROMIS<sup>®</sup>-29 v2.0 profile physical and mental health summary scores.,"The PROMIS-29 v2.0 profile assesses pain intensity using a single 0-10 numeric rating item and seven health domains (physical function, fatigue, pain interference, depressive symptoms, anxiety, ability to participate in social roles and activities, and sleep disturbance) using four items per domain. This paper describes the development of physical and mental health summary scores for the PROMIS-29 v2.0.","Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",eng,07/NA/2018,"['mental health', 'depression']"
6,29402247,The power of support from companion animals for people living with mental health problems: a systematic review and narrative synthesis of the evidence.,"There is increasing recognition of the therapeutic function pets can play in relation to mental health. However, there has been no systematic review of the evidence related to the comprehensive role of companion animals and how pets might contribute to the work associated with managing a long-term mental health condition. The aim of this study was to explore the extent, nature and quality of the evidence implicating the role and utility of pet ownership for people living with a mental health condition.",BMC psychiatry,eng,02/05/2018,['mental health']
7,29485384,Academic interventions for academic procrastination: A review of the literature.,"Procrastination is a widespread phenomenon in academic settings. It has been studied from many different theoretical angles, and a variety of causes and consequences have been suggested. Recent studies support the notion that academic procrastination can be seen from a situational perspective and as a failure in learning self-regulation. It suggests that interventions should address situational as well as deficits in self-regulation to help students overcome their procrastinating tendencies. The present review examined the recent literature on causes and consequences of academic procrastination and the limited number of studies of academic interventions for academic procrastination. Findings of this review strengthen the need to further study the topic of academic interventions for academic procrastination and to develop effective interventions. At the end of this review, several suggestions for the development of academic interventions are outlined.",Journal of prevention & intervention in the community,eng,NA/NA/2018,['mental health']
8,29535447,Does playing violent video games cause aggression? A longitudinal intervention study.,"It is a widespread concern that violent video games promote aggression, reduce pro-social behaviour, increase impulsivity and interfere with cognition as well as mood in its players. Previous experimental studies have focussed on short-term effects of violent video gameplay on aggression, yet there are reasons to believe that these effects are mostly the result of priming. In contrast, the present study is the first to investigate the effects of long-term violent video gameplay using a large battery of tests spanning questionnaires, behavioural measures of aggression, sexist attitudes, empathy and interpersonal competencies, impulsivity-related constructs (such as sensation seeking, boredom proneness, risk taking, delay discounting), mental health (depressivity, anxiety) as well as executive control functions, before and after 2 months of gameplay. Our participants played the violent video game Grand Theft Auto V, the non-violent video game The Sims 3 or no game at all for 2 months on a daily basis. No significant changes were observed, neither when comparing the group playing a violent video game to a group playing a non-violent game, nor to a passive control group. Also, no effects were observed between baseline and posttest directly after the intervention, nor between baseline and a follow-up assessment 2 months after the intervention period had ended. The present results thus provide strong evidence against the frequently debated negative effects of playing violent video games in adults and will therefore help to communicate a more realistic scientific perspective on the effects of violent video gaming.",Molecular psychiatry,eng,08/NA/2019,"['mental health', 'depression']"
9,29345416,A qualitative study: experiences of stigma by people with mental health problems.,"Prior research has examined various components involved in the impact of public and internalized stigma on people with mental health problems. However, studies have not previously investigated the subjective experiences of mental health stigma by those affected in a non-statutory treatment-seeking population.",Psychology and psychotherapy,eng,09/NA/2018,['mental health']
